PC4;Woonplaatscode;Woonplaats;Gemeentecode;Gemeente;Provincie;Veiligheidsregio;Politie-eenheid;Omgevingsdienst
9446;1147;Amen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9465;1148;Anderen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9467;1149;Anloo;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9468;1150;Annen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9654;1151;Annerveenschekanaal;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9459;1153;Ballo‰rveld;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9458;1152;Balloo;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9457;1154;Deurze;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9463;1155;Eext;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9658;1156;Eexterveen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9659;1157;Eexterveenschekanaal;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9464;1158;Eexterzandvoort;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9454;1159;Ekehaar;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9453;1160;Eldersloo;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9456;1161;Eleveld;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9462;1162;Gasselte;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9514;1163;Gasselternijveen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9515;1163;Gasselternijveen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9515;1164;Gasselternijveenschemond;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9466;1165;Gasteren;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9455;1166;Geelbroek;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9461;1167;Gieten;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9511;1168;Gieterveen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9444;1169;Grolloo;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9448;1170;Marwijksoord;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9657;1171;Nieuw Annerveen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9512;1172;Nieuwediep;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9452;1173;Nijlande;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9449;1174;Nooitgedacht;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9655;1175;Oud Annerveen;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9447;1176;Papenvoort;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9451;1177;Rolde;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9469;1178;Schipborg;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9443;1179;Schoonloo;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9656;1180;Spijkerboor;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
9445;1181;Vredenheim;1680;Aa en Hunze;Drenthe;Drenthe;Noord-Nederland;Drenthe
4269;1951;Babyloni‰nbroek;0738;Aalburg;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4267;1952;Drongelen;0738;Aalburg;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4266;1953;Eethen;0738;Aalburg;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4265;1954;Genderen;0738;Aalburg;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4268;1955;Meeuwen;0738;Aalburg;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4264;1956;Veen;0738;Aalburg;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
4261;1957;Wijk en Aalburg;0738;Aalburg;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Midden- en West-Brabant
1431;2571;Aalsmeer;0358;Aalsmeer;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1432;2571;Aalsmeer;0358;Aalsmeer;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
1433;2572;Kudelstaart;0358;Aalsmeer;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Noordzeekanaalgebied
7121;1193;Aalten;0197;Aalten;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Achterhoek
7122;1193;Aalten;0197;Aalten;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Achterhoek
7123;1193;Aalten;0197;Aalten;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Achterhoek
7126;1194;Bredevoort;0197;Aalten;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Achterhoek
7095;1195;De Heurne;0197;Aalten;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Achterhoek
7091;1196;Dinxperlo;0197;Aalten;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Achterhoek
9284;3173;Augustinusga;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9233;3174;Boelenslaan;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9285;3175;Buitenpost;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9289;3176;Drogeham;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9873;3177;Gerkesklooster;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9281;3178;Harkema;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9288;3179;Kootstertille;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9871;3180;Stroobos;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9872;3180;Stroobos;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9231;3181;Surhuisterveen;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9283;3182;Surhuizum;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9286;3183;Twijzel;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
9287;3184;Twijzelerheide;0059;Achtkarspelen;Friesland;Fryslƒn;Noord-Nederland;FUMO
2951;2386;Alblasserdam;0482;Alblasserdam;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Zuid-Holland Zuid
2952;2386;Alblasserdam;0482;Alblasserdam;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Zuid-Holland Zuid
2953;2386;Alblasserdam;0482;Alblasserdam;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Zuid-Holland Zuid
2954;2386;Alblasserdam;0482;Alblasserdam;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Zuid-Holland Zuid
3171;2363;Poortugaal;0613;Albrandswaard;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;DCMR
3172;2363;Poortugaal;0613;Albrandswaard;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;DCMR
3176;2363;Poortugaal;0613;Albrandswaard;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;DCMR
3161;2362;Rhoon;0613;Albrandswaard;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;DCMR
3162;2362;Rhoon;0613;Albrandswaard;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;DCMR
3165;2364;Rotterdam-Albrandswaard;0613;Albrandswaard;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;DCMR
